P_IN_KW,P_REL
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
-0.017843999999999999,0.0017843999999999998
-0.058377999999999999,0.0058377999999999998
-0.19182199999999999,0.0191822
-0.5067560000000,0.050675600000000001
-1.3005780000000000,0.1300578
-1.7020890000000000,0.1702089
-1.778844000000,0.1778844
-1.9893559999999999,0.19893559999999999
-1.7938220000000000,0.17938219999999999
-1.8034220000000001,0.18034220000000001
-2.9090220000000002,0.2909022
-3.702089000000000,0.37020890000000001
-3.662044000000000,0.36620439999999999
-4.555178000000000,0.45551779999999997
-3.625311000000000,0.3625311
-2.230822000000,0.22308219999999998
-1.8306220000000000,0.18306220000000001
-1.8458440000000000,0.18458440000000001
-1.9304440000000000,0.1930444
-1.9518890000000000,0.1951889
-1.7668670000000000,0.1766867
-2.12791100000,0.21279110000000001
-1.9851780000000001,0.19851780000000002
-1.9060440000000001,0.19060440000000001
-1.2535110000000000,0.12535109999999999
-1.5288670000000000,0.15288669999999999
-0.5918000000000000,0.059179999999999996
-0.3849330000000000,0.038493300000000001
-0.12515599999999999,0.012515599999999998
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
